state,value
Alabama,0
Alaska,0
Arkansas,1
Arizona,0
California,3
Colorado,0
Connecticut,1
Delaware,1
District of Columbia,0
Florida,0
Georgia,3
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,2
Michigan,0
Minnesota,0
Missouri,1
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,1
New Mexico,0
Nevada,0
New York,4
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,2
Texas,0
Utah,0
Virginia,2
Vermont,0
Washington,0
Wisconsin,1
West Virginia,0
Wyoming,0
