state,value
Alabama,1
Alaska,0
Arkansas,0
Arizona,0
California,3
Colorado,0
Connecticut,0
Delaware,2
District of Columbia,0
Florida,1
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,2
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,0
Missouri,2
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
New York,3
Ohio,0
Oklahoma,1
Oregon,0
Pennsylvania,2
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,2
Texas,3
Utah,0
Virginia,1
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0
